296s, 65;
438l, 33 48 72 46 6 20 87 17 23 20 31 17 65;
439s, 85 75 6 35 68 65 59 90 65 57 31 6 37 2 70 23 54 70 35 34;
439l, 20 12 62 33 90 31 77 26 52 24 71 45 31 20 49 71 25 31 33 77;
440s, 6 48 60 33 34 74 19 62 34 65 34 19 65 67;
440l, 24 87 41 32 19 74 44 32 43 20 43 18 20 19;
441s, 90 67 24 19 74 5 90 51 34 35 70;
441l, 82 32 23 44 24 27 24 31 75 33 23;
442s, 62 5 87 76 62 65 76 23 70 34 55 76 34 65 5 31;
442l, 6 49 71 78 6 70 32 50 59 58 17 6 66 85 31 70;
443s, 81 88 15 75 45 23 76 30;
443l, 90 27 54 12 85 23 85 23;
444s, 91 34 7 27 52 79 87 24 34 62 23 49 68 51 23;
444l, 3 43 34 24 32 27 6 50 51 18 31 7 68 31 24;
445s, 87 7 54 58 49 59 88 35 87 68 33 33 65 21 7;
445l, 87 32 41 21 24 6 67 55 27 73 71 76 7 17 49;
446s, 79 55 88 6 65 35 34 62 20 65;
446l, 79 62 3 91 37 33 51 6 12 21;
447s, 88 70 89 70 55 77 84 11 66 5 70 50 58 19 84;
447l, 75 23 44 18 27 12 34 19 65 32 44 6 34 53 31;
448s, 88 36 23 59 33 34 65 33 76 70 21 55 76 49 33 84 31 53 70 85 5 70 55 84;
448l, 31 7 70 87 24 43 66 71 2 6 48 32 2 48 76 71 19 34 5 11 37 46 34 34;
449s, 31 59 62 70 70 23 45 35 34 65 76 35 65 35 34;
449l, 33 77 23 31 20 76 62 33 62 21 35 67 61 70 85;
450s, 70 5 56 33 79 70 73 55 56 5 35 65 73 57;
450l, 23 37 19 62 78 34 90 49 56 32 55 66 90 24;
451s, 48 24 70 32 34 55 23 70 31 49 37 87 65 45 65 70 57 70;
451l, 51 57 49 46 85 27 53 85 76 32 31 20 7 48 61 76 44 85;
452s, 56 58 12 48 37 70 90 2 84 7 70 35 76 48 52 35 6 53;
452l, 56 75 24 27 44 5 68 48 87 7 31 55 66 51 32 55 46 79;
453s, 21 90 56 32 50 62 24 34 78 2 76 19 44 90 34 36 35 2;
453l, 21 73 49 24 50 31 24 48 12 32 7 34 65 73 48 7 33 32;
454s, 33 34 85 2 66 23 50 12 58 21 7 2 66 24 62 84 74 55 33 34 87 48 35 5;
454l, 76 43 6 53 89 48 17 49 62 61 70 59 17 30 31 87 87 31 12 52 20 87 31 31;
455s, 44 55 70 2 5 70 87 48 55 87 23 5;
455l, 75 31 44 59 31 21 34 31 49 79 37 43;
456s, 2 70 3 70 53 19 23 48 35 58 34 52 76 77;
456l, 44 76 24 66 44 20 23 27 35 89 84 31 44 24;
