296s, 65;
876l, 27 18 7 87 32 59 76 35 12 35 31 19;
877s, 76 24 19 23 59 90 23;
877l, 79 35 31 24 59 45 23;
878s, 27 89 61 54 77 5 31 34;
878l, 32 85 85 15 66 48 70 34;
879s, 23 49 79 62 27 33 71 66 23;
879l, 31 24 33 6 24 35 76 7 66;
880s, 31 35 61 88 4 66 76 23 70 19 33 76 34;
880l, 31 35 56 34 54 53 76 66 53 62 35 12 88;
881s, 6 55 44 18 21 21 67 53 33 53 69 65 67 70 33;
881l, 87 55 20 37 31 34 67 34 35 61 55 70 85 34 35;
882s, 45 52 35 21 70 24 65 49 5 7 42 19 76 58 34;
882l, 11 21 35 34 49 44 34 44 36 34 8 65 20 58 33;
883s, 20 6 48 23 24 33 55 34 87 58 16;
883l, 51 44 17 76 31 12 35 59 53 34 31;
884s, 48 48 15 16 31 53;
884l, 35 6 15 31 77 88;
885s, 23 19 31 48 44 17 76;
885l, 76 37 77 34 32 31 76;
886s, 34 24 6 15 51 49 76 7;
886l, 34 12 23 54 22 71 67 34;
887s, 35 24 22 67 44 31 49 15 17 2 71;
887l, 76 23 87 7 71 34 61 15 70 62 44;
888s, 6 44 71 2 70 35;
888l, 76 44 17 62 70 76;
889s, 37 55 70 21 27 70 17 55 24 35;
889l, 76 35 34 20 70 25 32 35 76 76;
890s, 27 24 5 6 85 76 51 55 85 15 35 16 70 14 79 6;
890l, 62 32 44 62 85 76 51 58 51 54 12 27 31 6 59 23;
891s, 51 50 7 23 48 77 6 55 35 20 33 23 6 17;
891l, 88 32 34 50 34 65 85 35 55 20 23 27 23 12;
892s, 31 23 77 74 2 23 34 48 76 49 77 24;
892l, 31 5 20 49 70 84 19 11 55 35 23 16;
893s, 21 16 34 7 23 34 22 20 75 71 70 23 90 34 55 31 58;
893l, 58 84 43 74 84 43 58 35 70 57 61 16 68 49 55 20 36;
894s, 6 34 44 2 66 23 51 34 67 65;
894l, 45 51 65 7 65 24 48 76 34 50;
895s, 5 58 89 14 20 77 75 35 76 35 36 26 48 76;
895l, 70 55 20 19 7 19 85 33 35 33 75 9 89 35;
896s, 65 35 44 76 53 17 55 49 78 58 18 23 19 84 18 31;
896l, 19 33 49 55 20 35 55 79 2 2 65 76 70 49 65 19;
897s, 70 34 23 33 27 82 23 19 31;
897l, 7 7 32 35 27 0 37 7 44;
898s, 53 49 23 44 71 85 55 48 62 54 90 51 23 66 31 18;
898l, 37 32 27 44 17 56 27 21 48 60 68 34 65 49 24 44;
899s, 11 26 37 17 19 32 35 55 61 23 7 22 23 48;
899l, 52 90 32 31 23 31 35 33 89 61 58 53 51 65;
900s, 29 49 56 58 32 65 48 35 7 23 81 33 35 48 76;
900l, 8 76 56 61 36 67 70 33 31 51 90 35 35 70 76;
901s, 61 35 31 32 55 61 51 35 76 33 7 51;
901l, 61 23 14 49 76 65 19 76 85 35 7 51;
902s, 24 61 32 43 45 23 33 35 23 35 23;
902l, 57 65 70 16 45 16 35 12 55 12 46;
903s, 87 58 32 43 58 11 32 76 75 53 51 35 12 34 70 66;
903l, 48 33 32 67 52 6 32 76 18 34 19 76 49 76 34 35;
904s, 19 90 49 32 49 33 49 6 66 23 70 65;
904l, 45 72 35 32 55 61 55 85 66 58 55 34;
905s, 32 34 70 30 90 23 72 6 23 19 2 15;
905l, 27 2 32 45 38 19 38 35 33 19 27 54;
906s, 65 57 32 23 35 34 4 59 77 70 66;
906l, 66 91 20 23 33 34 4 66 24 51 65;
907s, 48 33 31 70 23 35 5 33 50 27 31 77 70 27 12;
907l, 70 35 19 70 33 65 67 27 87 46 17 45 70 49 37;
908s, 73 34 7 35 34 35 77 75 76 34 17 15 70 4 31;
908l, 90 58 49 33 19 33 34 70 34 19 17 54 88 4 21;
909s, 55 35 21 6 44 34 90 71 48 34 6 70 34 17 65 85 7;
909l, 27 76 84 85 49 65 60 32 45 19 85 70 7 31 70 7 58;
910s, 21 49 19 71 43 67 17 33 31 33 34 12 19 33 52;
910l, 56 49 70 35 23 37 49 76 53 67 34 33 19 76 31;
911s, 85 70 10 76 37 68 16 65 33 19 37 75 76;
911l, 21 31 26 6 65 68 85 87 35 51 31 23 76;
912s, 31 44 85 75 22 49 21 32 71 49 19 76 62 19;
912l, 23 53 19 34 57 55 49 58 55 33 51 55 44 31;
913s, 5 74 31 23 34 27 57 60 62 76 52 76 53 5;
913l, 7 70 31 23 34 27 44 38 29 20 18 12 20 7;
914s, 51 16 67 58 31 61 34 50 53 34 66 48;
914l, 34 75 57 32 53 61 70 16 79 34 66 45;
915s, 57 55 44 49 88 31 43 34 33 53 65 76 61 44 34 65;
915l, 84 53 44 55 2 31 58 44 35 88 21 27 23 23 76 56;
916s, 6 24 87 16 50 31 12 35 23 24 35 20 66;
916l, 31 41 48 16 76 19 27 55 35 71 49 20 66;
917s, 74 49 57 56 12 65 23 34 32 55 49 67 53 32 34 23;
917l, 74 49 23 56 44 49 16 51 35 76 76 32 53 35 76 71;
918s, 43 34 23 8 79 34 19 27 23 48 33 53 66 18 17 48 23 20 66;
918l, 34 58 16 29 11 32 70 53 71 48 33 23 85 48 17 48 33 52 76;
919s, 17 33 24 23 76 84 38 31 39 61 35 17 66 87;
919l, 23 55 31 50 31 37 62 4 8 31 55 27 44 76;
920s, 34 6 33 65 34 70 2 24 19 35 34 66 70 76;
920l, 6 20 33 58 55 23 52 57 61 31 67 66 24 70;
921s, 75 24 35 31 44 19 77 6;
921l, 58 21 33 70 34 65 65 32;
922s, 32 54 61 43 24 35 35 31 33 35 23 76 49 56 36 27 23;
922l, 17 25 22 58 24 55 35 17 18 12 61 32 69 56 7 75 23;
923s, 43 24 57 34 79 43 48 31 53 55 24 54;
923l, 27 11 23 19 52 19 87 7 53 65 23 25;
924s, 20 79 24 55 35 37 77 79 48 17 27 35 60;
924l, 53 19 23 76 55 53 77 70 55 17 40 33 25;
925s, 19 79 76 20 35 57 8 56 27 55 49 20 21 34 45 12 31;
925l, 16 70 33 76 33 74 8 56 12 88 33 31 6 48 86 35 65;
926s, 49 79 11 6 75 17 11 49 31 33 66 56 53 90 11 49;
926l, 44 84 18 7 51 49 6 49 55 14 66 37 53 68 66 49;
927s, 31 76 36 20 44 76 5 78 20 70 8 55 4 31 33;
927l, 17 48 76 34 44 55 7 78 20 7 8 88 71 7 58;
928s, 65 87 70 61 37 52 35 71 20 68 70 4 55;
928l, 67 45 70 6 37 32 55 71 58 90 44 71 55;
929s, 59 65 49 35 21 87 21 6 48 21 61 60 78 34 87 33 34 55 61 71 19;
929l, 59 53 58 33 65 33 32 6 58 35 31 90 37 70 33 35 79 55 58 45 31;
930s, 59 52 90 85 55 4 66 23 27 12 4;
930l, 31 65 68 85 32 4 11 27 16 35 4;
931s, 89 87 32 43 65 87 76 27 67 14 65 57 53;
931l, 61 58 55 58 21 57 5 27 55 53 75 57 70;
932s, 65 74 11 48 70 34 31 55 49 37 6 34 12;
932l, 65 6 34 87 70 50 23 55 76 67 33 53 33;
933s, 23 11 57 11 87 84 34 57 65 71 4 5 67 5;
933l, 46 24 24 24 58 84 70 91 70 58 3 5 20 35;
934s, 23 7 85 5 27 89 35 55 44;
934l, 17 34 84 70 34 87 33 24 45;
935s, 53 51 27 23 61 34 37 68 61 31 67 35 34 48 65 20 26 21;
935l, 19 32 19 55 16 34 53 68 16 45 67 35 7 75 33 20 26 18;
936s, 84 38 19 7 76 67 6 87 27 7 67 84 44 19 67;
936l, 85 32 19 70 87 67 85 48 50 65 88 65 61 37 58;
937s, 21 19 76 67 89 27 21 27 19 20 35 8 23 35 79 70 75 51;
937l, 65 11 76 33 49 27 32 23 37 14 33 34 23 33 7 67 34 66;
938s, 49 6 7 27 23 76 31 20 6 19 72 49 8 19 76 65 7 76 34;
938l, 18 55 88 27 24 31 31 52 35 19 68 23 90 70 35 31 58 76 31;
939s, 55 32 70 58 31 24 27 65 6 27 12 31 44 76 6 7 32 20;
939l, 65 65 57 34 31 14 34 66 6 55 37 44 35 33 73 58 55 20;
940s, 19 55 85 31 2 67 27 44 6 35 55 79 11 12 61 48 15 48 27 44 12 34;
940l, 76 55 18 23 70 19 55 49 6 34 35 67 6 33 61 87 8 76 35 27 23 23;
941s, 65 31 19 70 55 32 91 17 57 88 32 20 37 87;
941l, 70 31 76 34 65 55 24 23 57 31 27 71 20 57;
942s, 76 58 19 74 61 57 7 48 33 17 24 65;
942l, 76 58 65 91 35 57 55 87 49 17 23 87;
943s, 58 76 35 70 11 49 58 35 23 6 23 24 34;
943l, 53 76 35 33 31 58 70 65 88 34 61 17 31;
944s, 17 57 31 76 12 19 33 23 53 23 51 58 7 27 58;
944l, 66 49 31 32 49 19 55 20 11 23 7 11 5 27 65;
945s, 58 11 18 34 65 76 19 65 32 7 71 76 7 6 34 20 75 58 27 76 58;
945l, 49 67 6 55 53 35 2 34 34 34 24 76 67 48 34 62 58 65 71 24 19;
946s, 12 11 35 48 19 49 33 34 37 49 17;
946l, 27 65 35 52 19 89 55 70 48 70 17;
947s, 34 50 6 35 49 8 23 54 53 16 34 46 19 71 24 70 89 34;
947l, 70 32 80 27 7 29 37 47 33 14 34 31 49 76 35 75 22 58;
948s, 5 34 24 44 46 35 58 75 34 27 87 72 45;
948l, 11 70 88 23 45 6 55 78 36 65 45 90 23;
949s, 6 37 65 89 71 70 65 31 65 44 20 70 34 17 27 65 61 34 49 54 14 17;
949l, 70 37 21 33 24 24 66 31 87 44 14 31 88 17 65 65 55 53 76 47 70 76;
950s, 85 16 66 45 58 70 22 23 65 31 71 2 65 85 90 65;
950l, 87 70 61 48 34 35 7 61 65 5 23 76 50 88 73 52;
951s, 55 31 33 51 17 23 72 34 84;
951l, 49 37 33 32 31 24 73 59 37;
952s, 55 19 3 52 18 70 49 6 65 61;
952l, 49 19 3 34 16 11 55 24 20 31;
953s, 34 50 6 17 65 49 24 43 35 7 65 71 65 2 12 20 65 57 16 61;
953l, 7 34 21 32 67 49 31 37 76 20 67 23 5 2 33 23 34 57 31 31;
954s, 17 33 19 71 34 58 5 34 16 23 55 79 6;
954l, 24 35 19 23 70 70 65 58 31 34 12 35 34;
955s, 19 32 34 75 11 44 17 65 32 14;
955l, 77 32 33 75 61 70 17 32 31 14;
956s, 68 66 31 27 71 65 32 49 35 48 32 76 87 6 37 34 7 18 14 31;
956l, 32 77 12 49 24 52 19 76 12 65 36 70 65 87 87 70 31 31 14 55;
957s, 59 32 50 31 44 16 55 11 6 76 20 35 49 26 5 44 48;
957l, 5 44 84 70 19 16 34 48 65 88 20 33 37 90 70 50 6;
958s, 6 33 20 51 44 71 6 31 17 87 76 20 32 7 23 33 76;
958l, 21 23 19 34 34 76 17 76 57 31 35 32 27 49 44 35 35;
959s, 87 5 24 16 49 32 3 7 11 55 3 76 65 25 70 14 35 34 70 31 35;
959l, 31 49 49 16 3 67 23 5 66 49 3 27 70 67 65 89 35 7 65 37 35;
960s, 89 16 87 33 34 32 17 49 66 58 85 23 65 65 34 31 5 70 2;
960l, 34 18 48 35 5 32 71 7 65 6 19 16 36 67 51 19 70 5 70;
961s, 34 6 87 33 65 24 33 35 53 41 55;
961l, 88 90 7 76 35 17 76 12 11 4 31;
962s, 58 76 50 41 76 88 61 7 23;
962l, 67 76 23 41 65 65 66 31 71;
963s, 87 58 88 34 45 44 49 65 47 62 23 88 48 41;
963l, 45 31 37 70 52 65 89 37 47 23 67 23 87 4;
964s, 45 31 19 61 78 76 76 19 66 33 55 23 65 32 23;
964l, 79 77 34 58 71 58 35 49 21 35 55 31 31 37 55;
965s, 35 71 54 27 31 54 74 32 23 6 33 88 54 7 72;
965l, 49 71 25 44 7 47 3 55 70 32 35 19 54 35 72;
966s, 6 34 17 51 89 56 35 23 31 85 70 59 2 35 54 20 79 23 4 70 31 72 75;
966l, 51 31 17 34 89 31 33 70 34 6 52 34 88 35 24 66 19 70 76 88 20 72 58;
967s, 21 56 31 46 25 32 70 65 23 22 35 50 89 71 44 33 17 65 20 6 2 33 16 59;
967l, 44 31 34 48 25 35 6 49 50 11 55 49 84 18 44 34 23 53 33 62 88 35 32 20;
968s, 61 23 20 61 70 22 48 73 75 61 31 51 79 27 7 57 12 87;
968l, 24 23 62 85 2 49 48 72 22 23 70 87 32 27 65 23 49 87;
969s, 44 37 23 16 5 67 44 53 31 48 32 23 49 7 32 27 90 49 76 65 6 37 35 27 76 55 67 23 35;
969l, 88 7 23 32 36 21 78 70 66 34 32 84 76 7 70 27 44 32 33 33 70 31 12 27 49 76 59 35 12;
970s, 61 53 44 73 19 65 2 27 61 7 76 65 31 17;
970l, 61 34 44 90 2 48 2 27 21 7 33 31 61 17;
971s, 49 23 35 73 90 65 87 44 27 89 70 37 73 57 32 34 90 76 75 16 53;
971l, 49 70 35 90 69 37 62 16 27 34 34 18 72 24 55 70 73 6 76 57 16;
972s, 2 27 65 19 31 34 77 7 65 35 58 55 70 22 8 20;
972l, 34 7 62 19 53 65 31 2 58 33 20 67 70 34 8 70;
973s, 84 48 31 27 65 35 87 19 44 35 24 22 76 32 65 87 51 41 23 18 70;
973l, 34 49 23 66 65 32 6 37 44 27 32 70 59 32 52 6 32 41 57 49 58;
974s, 35 50 67 55 37 65 52 34 56 49 65 88 62 89 33 35 65;
974l, 35 59 33 33 65 5 87 37 56 37 31 23 6 49 35 76 50;
975s, 55 52 33 65 27 49 87 49 22 27 65 41 49 66 76 49 31;
975l, 79 34 33 34 31 65 58 23 34 27 48 8 3 3 55 59 85;
976s, 84 55 66 49 70 33 91 29 70 65 50 49 51 13 7 32 88 12 32 34 24 56 32 88 35;
976l, 11 31 75 23 32 49 91 29 23 65 49 35 62 47 31 23 85 70 35 75 27 20 23 85 33;
977s, 29 34 21 20 61 53 70 23 21 29 19 21 27 70 32 16 27 76 67;
977l, 39 7 58 23 17 58 37 19 56 63 19 35 87 65 33 46 27 33 76;
978s, 34 91 24 67 17 32 23 76 31 44 10 88 7;
978l, 32 23 7 53 59 35 24 23 20 49 15 2 85;
979s, 23 18 50 23 2 51 35 6 52 23 85 75 32 41 76 31 19 29 57 65 64;
979l, 49 32 35 33 58 34 35 70 48 27 6 65 55 4 21 35 34 8 12 21 64;
980s, 70 37 19 23 55 85 89 49 35 76 70 87 33 34 55 7 49 87;
980l, 23 19 34 49 23 79 87 43 27 21 18 34 55 37 55 67 24 89;
981s, 57 70 49 6 34 11 59 46 57 76 18 55 56 65 53 73 65 21 58 72;
981l, 7 35 76 58 34 87 34 23 49 32 6 11 31 65 53 4 65 65 65 26;
982s, 17 7 57 50 66 23 77 70 35 6 6 65 37;
982l, 17 35 45 24 71 34 62 2 33 49 76 65 65;
983s, 17 66 35 53 65 35 6 21 35 49 67 5 73 12;
983l, 23 71 35 34 75 35 3 46 23 17 66 76 90 49;
984s, 88 58 85 76 19 21 88 45 35 59 2 54;
984l, 88 65 85 70 23 19 55 71 89 35 2 54;
985s, 21 35 22 76 35 52 31 46 6 32 34 31;
985l, 21 35 23 33 35 5 70 46 6 2 31 85;
986s, 23 6 31 69 21 2 6 65 11 23 31 55 2 58 37 24 49 24 54 71;
986l, 49 32 43 24 58 20 21 65 20 87 31 27 36 55 7 57 32 57 54 31;
987s, 71 70 76 70 65 21 72 35 70 36 35 65 57 58 33 31;
987l, 71 35 65 35 70 48 72 34 7 36 35 65 88 58 27 87;
988s, 77 69 33 35 31 21 34 33 91 70 58 8 6 37 54 31 7 66;
988l, 70 54 27 27 17 70 31 33 31 2 20 8 70 37 25 35 7 34;
989s, 55 71 37 23 79 6 6 24 49 11 34 6 19 33 20 18;
989l, 36 32 65 19 34 18 70 33 4 58 70 34 19 33 62 65;
990s, 24 61 43 58 44 55 7 75 87 53 27 59 76 34;
990l, 32 77 85 5 45 24 87 53 58 53 50 2 35 37;
991s, 49 55 76 91 85 87 10 67 23 75 21 87 52 34 35;
991l, 65 23 23 24 76 45 35 70 24 37 65 87 34 58 76;
992s, 31 21 51 35 52 55 16 35 70 51 44 34 16 20;
992l, 66 65 33 70 31 33 31 50 5 23 44 61 23 49;
993s, 32 11 6 21 73 17 35 17 65 16 57 31 51 76 20;
993l, 35 35 65 31 90 31 14 17 75 16 61 31 14 35 87;
994s, 70 5 21 33 81 70 27 5 48 17 56 31 20 16 33 55 91 51 88 90 70 34 31 66;
994l, 49 88 66 32 9 49 17 7 58 71 33 76 23 31 65 55 33 51 34 26 2 87 14 32;
995s, 70 27 21 87 18 49 35 70 32 51 70 23 20 6 70;
995l, 61 79 32 32 21 35 35 77 27 51 19 62 65 65 34;
996s, 12 49 34 49 65 33 2 73 87 35;
996l, 49 12 34 87 65 55 2 6 76 33;
997s, 44 34 23 7 33 19 6 44 70 34 19 33 32 61 76 24 12 2 23 11;
997l, 57 19 23 20 33 37 11 43 21 34 19 33 12 61 46 57 33 88 27 58;
998s, 6 55 65 19 51 27 85 91 53 31 49 2 87 24 55 11;
998l, 23 33 70 37 31 27 6 33 53 21 35 58 58 23 20 58;
999s, 24 19 53 6 77 17 55 65 23 18 37 53 45 65 76 44;
999l, 74 19 53 11 62 17 14 62 70 31 52 34 21 20 32 17;
1000s, 46 55 77 33 35 19 31 17 66 65 49 17 71 65 68 27 84 45 51 20 61 65;
1000l, 49 55 31 33 76 31 31 11 19 49 55 27 89 16 90 27 14 8 61 23 85 75;
1001s, 21 55 51 37 17 19 27 31 49 33 34 31 22 57 31 34 27 73 6 5 35;
1001l, 21 6 61 67 58 37 53 16 16 35 76 31 55 60 79 65 87 90 33 87 33;
1002s, 32 17 6 27 78 45 57 66 32 24 6 35 33 6 49 58;
1002l, 89 31 70 33 36 19 57 7 36 17 70 76 33 70 17 19;
1003s, 17 34 70 52 91 45 31 52 58 87 24 14 19 6 34 75 45;
1003l, 17 58 65 70 91 23 31 31 65 23 57 16 19 70 70 77 49;
1004s, 36 52 70 66 21 19 24 85 2 17 32 35 91 70 49 6 76 65 68 36 85;
1004l, 5 58 34 49 78 19 12 23 2 23 65 33 17 33 6 34 12 34 90 5 85;
1005s, 52 34 70 31 19 37 17 47 65 58 32 21 19 53 34 52 58 70 85 20 31 23 34 70 78 23;
1005l, 67 67 55 69 70 20 52 72 70 70 35 21 55 53 34 55 70 66 85 70 31 14 75 48 78 14;
1006s, 17 24 31 71 57 75 19 53 58 23 34 87 31 20 23 78 31 89 24 23 54;
1006l, 84 57 31 71 84 85 19 34 44 23 16 52 70 20 14 34 70 33 24 87 54;
1007s, 70 21 34 45 57 31 71 24 19 23 70 21 87 34 31 34 17 55 48 23 31 24 21 6 34 62 22;
1007l, 31 87 16 55 24 5 71 32 67 17 88 70 24 66 31 55 17 34 65 76 11 57 20 87 7 23 34;
1008s, 52 35 19 6 3 34 11 35 71 65 31 89 34 7 33 17 37 65 76 68 76 24 76 65 24 70 45 14;
1008l, 2 34 19 34 50 65 48 27 49 65 87 85 70 70 12 12 2 77 19 68 35 57 35 65 17 12 45 61;
1009s, 34 76 31 34 19 3 7 24 35 71 58 76 17 50 68;
1009l, 70 19 53 7 19 3 34 32 35 23 34 27 17 50 90;
1010s, 61 6 71 7 24 88 6 33 57 45 6 72 19 87 76 33 45 55 17 35 33 76 49;
1010l, 14 34 33 70 32 76 11 34 57 45 12 90 45 76 35 35 45 25 17 65 35 35 49;
1011s, 43 21 6 17 45 84 27 34 48 6 17 65 51 7 34 53 54 33 2;
1011l, 70 61 76 17 87 87 27 22 65 6 87 65 34 36 21 53 54 76 2;
1012s, 61 6 66 35 34 32 65 7 57 17 31 87 76 70 51 34 23;
1012l, 23 70 70 33 59 66 70 65 24 24 31 48 27 19 49 33 85;
1013s, 65 37 31 88 27 7 70 34 65 37 48 17 2;
1013l, 70 37 32 65 6 65 19 77 70 89 45 6 20;
1014s, 52 70 53 65 91 37 61 43 6 57 21 37 31 65 52 34 49 37 65 71 45;
1014l, 70 17 5 70 19 23 56 34 61 24 34 37 50 34 34 33 35 55 70 17 48;
1015s, 22 31 55 6 57 58 65 31 37 51 71;
1015l, 34 31 55 87 46 67 70 76 55 7 24;
1016s, 17 34 6 31 65 32 44 17 76 33 31 88 12 33 45 49 71;
1016l, 17 55 55 23 55 70 31 20 12 35 53 70 35 12 70 31 35;
1017s, 23 52 84 17 87 32 53 31 85 48 34 12 49 53 20 52 87 6;
1017l, 32 31 84 41 31 77 34 31 21 5 32 27 49 53 49 21 6 20;
1018s, 17 53 65 7 31 56 24 37 61 52 70 31 33 77 61 6 49 48 61 7;
1018l, 34 67 32 34 31 85 23 31 79 17 70 34 55 70 19 6 89 49 19 7;
1019s, 51 18 19 54 24 7 31 87 21 23 79 5 27 52 65 5 65 57 3;
1019l, 49 32 44 4 70 34 20 6 21 24 34 44 17 34 65 34 43 23 3;
1020s, 23 23 32 43 31 48 25 33 21 18 20 70 76;
1020l, 16 16 21 53 34 23 54 32 58 16 58 31 21;
1021s, 65 77 34 32 85 65 34 91 37 23 56 27 18 12 22 34;
1021l, 65 65 43 14 23 65 43 33 18 36 88 12 20 35 23 70;
1022s, 50 51 24 27 55 12 51 77 45 35 6 67 55 68;
1022l, 70 34 44 12 35 12 51 77 32 33 70 67 35 60;
1023s, 24 34 37 23 21 87 20 52 34 24 51 76 37 76 24 85 34 65;
1023l, 44 23 31 67 70 34 16 34 48 23 16 58 12 67 65 35 65 67;
1024s, 77 52 49 23 43 37 24 20 52 19 70 44 77 5 43 34 76 19 77 53 21 19 7 27;
1024l, 76 53 89 33 61 20 4 49 53 21 70 77 66 32 20 59 58 67 65 56 21 65 34 33;
1025s, 87 44 49 23 34 24 53 6 19 23 58 49 67 89 35 27 87 62 35;
1025l, 6 56 48 71 53 24 70 33 19 78 58 35 61 35 2 33 20 70 55;
1026s, 31 23 45 24 51 23 31 65 27 87 90 7 27 19 58 33 7 53;
1026l, 31 37 23 32 70 33 18 19 77 65 90 88 27 16 44 76 59 53;
1027s, 24 71 12 27 43 87 49 57 89 37 19 31 49 61;
1027l, 34 32 58 36 34 31 23 6 7 20 80 31 23 53;
1028s, 71 70 31 66 51 52 34 70 43 24 31 23 79 90 4 23 44 49 23;
1028l, 31 31 31 58 51 37 7 35 58 49 35 62 34 73 12 65 12 56 35;
1029s, 23 57 31 48 51 21 49 3 71 31 12 53 2 35 61 2 33 70 59 70 35 6 76 53;
1029l, 7 57 87 48 32 33 71 49 12 31 67 67 27 33 85 33 35 51 58 51 46 34 55 53;
1030s, 31 68 61 66 70 43 53 49 20 16 37 69 23 6 24 31 56 67 57 23 33 76;
1030l, 78 90 85 58 70 65 70 49 70 16 65 69 71 70 49 31 85 19 48 79 35 12;
1031s, 20 43 23 17 69 22 44 16 87 31 20 57 49 43 88 14 34 67 31 33 17 31;
1031l, 31 34 23 31 54 58 49 16 35 27 58 50 35 34 53 43 65 67 50 34 75 19;
1032s, 59 31 61 49 23 56 46 43 37 49 18 12 6 48 6 57 33;
1032l, 67 79 85 53 66 56 49 34 84 70 21 35 90 67 50 21 33;
1033s, 91 23 31 43 20 76 88 65 18 65 37 32 6;
1033l, 34 34 65 19 58 76 20 43 11 67 65 55 6;
1034s, 31 43 53 37 87 88 11 34 27 6 65 85 23 61 85 35 50;
1034l, 20 59 2 65 57 88 58 51 55 70 70 20 70 57 20 55 23;
1035s, 21 49 53 33 26 49 58 57 52 81 76 70 65 19 31 58 32 27 57;
1035l, 85 37 70 35 26 33 70 57 34 48 76 70 19 34 54 65 87 27 71;
1036s, 26 37 23 49 84 57 76 16 26 33 49 70 22 67 70 32 11 6 21 6 16 34 87 58;
1036l, 26 7 70 49 23 57 12 65 24 35 16 70 65 59 88 70 6 91 88 6 84 70 48 34;
1037s, 57 48 56 33 84 34 27 57 11 21 12 91 32 39 34 20 45 24 57 58 76;
1037l, 23 55 56 35 85 65 27 12 11 34 35 24 65 63 55 58 79 32 24 55 35;
1038s, 50 56 2 76 33 49 37 14 55 49 59 34 2 35 87 24 59 41;
1038l, 7 56 19 67 70 35 37 65 37 5 59 19 17 33 51 57 27 54;
1039s, 53 27 65 6 84 49 23 58 43 2 37 90 65 20 87 7 34 21;
1039l, 7 79 58 58 34 62 49 34 85 17 75 68 49 30 49 34 70 58;
1040s, 27 36 79 85 37 65 31 33 84 19 7 24 65 32 55 34 76 65 19 20 21 66 31 70 37 41 49 31;
1040l, 55 36 34 34 23 49 50 35 34 19 85 57 24 70 35 44 35 65 19 58 62 18 56 51 84 41 70 6;
1041s, 37 34 84 51 65 55 70 31 49 17 51 52 32 31 19 32 65 76 53 57 12 6;
1041l, 37 70 18 51 65 35 55 49 70 17 23 65 33 19 34 35 70 49 23 24 27 34;
1042s, 37 65 79 37 11 34 46 23 48 66 70 23 65 12 76 51;
1042l, 55 88 31 23 18 53 20 35 32 70 58 45 70 33 55 53;
1043s, 49 18 19 34 21 24 33 85 32 90 81 8 35 12 67 58 69;
1043l, 35 65 49 7 61 23 35 33 35 68 48 6 35 27 57 49 69;
1044s, 23 37 12 71 65 49 51 90 85 45 58;
1044l, 33 65 49 33 53 21 2 68 35 34 89;
1045s, 89 23 37 17 58 61 71 31 23 5 91 20 34 16 17 70 41 69 6 65 87;
1045l, 23 54 48 58 35 48 23 70 33 5 87 23 7 23 41 49 9 69 53 70 87;
1046s, 37 52 33 23 39 88 87 69 33 6;
1046l, 65 70 33 88 54 85 62 69 33 85;
1047s, 31 27 21 33 44 24 22 32 19 33 50 23 89 85 53;
1047l, 6 12 6 35 31 31 53 7 59 55 27 24 66 2 18;
1048s, 19 23 27 85 32 70 16 33 19 41 27 32 21 34 85 19 34 7 46 19 52 58;
1048l, 52 7 45 85 87 6 18 35 46 41 36 55 59 31 2 53 32 7 53 59 23 67;
1049s, 65 34 35 32 24 65 36 35 41 34 67 89 89 85;
1049l, 7 31 24 55 32 33 23 55 49 34 37 6 6 11;
1050s, 25 32 24 66 27 77 34 27 33 62 27 32 51 27;
1050l, 86 70 23 65 27 3 55 27 34 11 23 24 57 85;
1051s, 87 16 23 90 34 70 46 85 71 35 58 67 91 34 76 56 58 54 57 35 18 12 78;
1051l, 17 65 85 68 84 58 53 17 71 35 62 67 24 70 35 56 6 54 70 32 61 12 17;
1052s, 50 57 24 76 70 18 23 71 21 34 85 67 90 69 49 65 33 36 70 48 56 48 34 54;
1052l, 31 31 35 35 65 62 49 55 21 59 85 36 73 69 12 43 27 27 70 61 33 61 51 25;
1053s, 60 32 6 60 49 89 61 34 49 54 79 32 53 65 20 32 36 8;
1053l, 86 62 6 86 31 89 7 23 31 13 2 55 23 59 37 35 70 8;
1054s, 15 85 18 49 77 58 65 2 49 6 71 34 23 91 89 24 7 70 32 85;
1054l, 28 85 11 55 77 59 65 19 55 32 71 22 50 91 7 32 67 32 35 56;
1055s, 5 70 59 65 6 56 77 89 49 12 70 21 65 7 71 34 90 79 65 49 71 51 35 5 7 34 91;
1055l, 70 58 59 20 32 56 77 33 35 70 58 16 20 58 55 78 60 58 65 35 71 66 12 36 7 19 91;
1056s, 24 59 46 48 71 37 56 76 48 43 51 70 27 6 21 7;
1056l, 32 59 31 5 71 19 56 49 87 34 55 53 32 17 21 61;
1057s, 18 27 53 37 22 71 90 23 33 22 53 7 21 34 59 89 14 12 7;
1057l, 31 27 53 20 31 27 26 35 35 70 53 7 21 66 5 7 48 77 61;
1058s, 71 33 58 34 49 32 53 59 20 35 49 70;
1058l, 6 35 23 7 91 35 20 87 65 55 6 19;
1059s, 65 6 79 23 49 65 34 37 71 23 69 78 34 65 70 6 21 47 33;
1059l, 65 45 34 34 12 33 52 65 23 33 69 34 34 11 19 65 20 24 55;
1060s, 74 32 35 23 31 24 79 59 2 12 34 27 66 7 49;
1060l, 74 35 55 87 51 70 85 34 70 33 78 27 45 49 55;
1061s, 23 33 18 69 22 37 89 17 57 32 23 16 33 87 48 67 33 34 7 21;
